timestep,metrics,total_pos_label
17,"[('Accuracy', 0.12453760789149199), ('Precision', 0.12237330037082818), ('Recall', 1.0), ('F1 Score', 0.21806167400881055), ('Specificity', 0.0028089887640449437), ('NPV', 1.0), ('FPR', 0.9971910112359551), ('FDR', 0.8776266996291718), ('MCC', 0.018540367465634366), ('Confusion Matrix', (2, 710, 0, 99)), ('ROC_AUC', 0.01603109749177165), ('AUCPR', 0.06491173969925869)]",99
18,"[('Accuracy', 0.13881748071979436), ('Precision', 0.1343669250645995), ('Recall', 1.0), ('F1 Score', 0.2369020501138952), ('Specificity', 0.005934718100890208), ('NPV', 1.0), ('FPR', 0.9940652818991098), ('FDR', 0.8656330749354005), ('MCC', 0.028238799945143504), ('Confusion Matrix', (2, 335, 0, 52)), ('ROC_AUC', 0.02773339420223698), ('AUCPR', 0.07275630925620538)]",52
19,"[('Accuracy', 0.11006711409395974), ('Precision', 0.10767160161507403), ('Recall', 1.0), ('F1 Score', 0.19441069258809235), ('Specificity', 0.0030075187969924814), ('NPV', 1.0), ('FPR', 0.9969924812030075), ('FDR', 0.892328398384926), ('MCC', 0.017995120609754778), ('Confusion Matrix', (2, 663, 0, 80)), ('ROC_AUC', 0.06896616541353386), ('AUCPR', 0.0638999265422644)]",80
20,"[('Accuracy', 0.28888888888888886), ('Precision', 0.2884187082405345), ('Recall', 0.9961538461538462), ('F1 Score', 0.4473229706390328), ('Specificity', 0.0015625), ('NPV', 0.5), ('FPR', 0.9984375), ('FDR', 0.7115812917594655), ('MCC', -0.021981320039995377), ('Confusion Matrix', (1, 639, 1, 259)), ('ROC_AUC', 0.06661057692307691), ('AUCPR', 0.1697666877429183)]",260
21,"[('Accuracy', 0.15600624024961), ('Precision', 0.15492957746478872), ('Recall', 0.99), ('F1 Score', 0.2679296346414073), ('Specificity', 0.0018484288354898336), ('NPV', 0.5), ('FPR', 0.9981515711645101), ('FDR', 0.8450704225352113), ('MCC', -0.05303646015773835), ('Confusion Matrix', (1, 540, 1, 99)), ('ROC_AUC', 0.0357855822550832), ('AUCPR', 0.08476106585347207)]",100
22,"[('Accuracy', 0.08961996596710153), ('Precision', 0.08915388983532084), ('Recall', 0.9936708860759493), ('F1 Score', 0.16362688900468997), ('Specificity', 0.0006230529595015577), ('NPV', 0.5), ('FPR', 0.9993769470404984), ('FDR', 0.9108461101646792), ('MCC', -0.04841810561812084), ('Confusion Matrix', (1, 1604, 1, 157)), ('ROC_AUC', 0.02308844986001029), ('AUCPR', 0.04761585498171517)]",158
23,"[('Accuracy', 0.04633529907329402), ('Precision', 0.04472573839662447), ('Recall', 1.0), ('F1 Score', 0.08562197092084006), ('Specificity', 0.001763668430335097), ('NPV', 1.0), ('FPR', 0.9982363315696648), ('FDR', 0.9552742616033755), ('MCC', 0.008881518610775572), ('Confusion Matrix', (2, 1132, 0, 53)), ('ROC_AUC', 0.14114338957106254), ('AUCPR', 0.025727156204701895)]",53
24,"[('Accuracy', 0.12344582593250444), ('Precision', 0.12188612099644128), ('Recall', 1.0), ('F1 Score', 0.21728786677240286), ('Specificity', 0.0020222446916076846), ('NPV', 1.0), ('FPR', 0.9979777553083923), ('FDR', 0.8781138790035588), ('MCC', 0.015699794940243816), ('Confusion Matrix', (2, 987, 0, 137)), ('ROC_AUC', 0.15862812100994148), ('AUCPR', 0.08032263812852763)]",137
25,"[('Accuracy', 0.19865319865319866), ('Precision', 0.19763513513513514), ('Recall', 0.9915254237288136), ('F1 Score', 0.3295774647887324), ('Specificity', 0.0021008403361344537), ('NPV', 0.5), ('FPR', 0.9978991596638656), ('FDR', 0.8023648648648649), ('MCC', -0.04389981554273693), ('Confusion Matrix', (1, 475, 1, 117)), ('ROC_AUC', 0.01664648910411618), ('AUCPR', 0.10870674569694164)]",118
26,"[('Accuracy', 0.1895551257253385), ('Precision', 0.18640776699029127), ('Recall', 1.0), ('F1 Score', 0.3142389525368249), ('Specificity', 0.004750593824228029), ('NPV', 1.0), ('FPR', 0.995249406175772), ('FDR', 0.8135922330097087), ('MCC', 0.029758151600061032), ('Confusion Matrix', (2, 419, 0, 96)), ('ROC_AUC', 0.04579869358669832), ('AUCPR', 0.10215826955098582)]",96
27,"[('Accuracy', 0.11650485436893204), ('Precision', 0.11274509803921569), ('Recall', 0.9583333333333334), ('F1 Score', 0.2017543859649123), ('Specificity', 0.005494505494505495), ('NPV', 0.5), ('FPR', 0.9945054945054945), ('FDR', 0.8872549019607843), ('MCC', -0.1183547494967353), ('Confusion Matrix', (1, 181, 1, 23)), ('ROC_AUC', 0.05151098901098899), ('AUCPR', 0.06537635746690651)]",24
28,"[('Accuracy', 0.30633802816901406), ('Precision', 0.30141843971631205), ('Recall', 1.0), ('F1 Score', 0.46321525885558584), ('Specificity', 0.010050251256281407), ('NPV', 1.0), ('FPR', 0.9899497487437185), ('FDR', 0.6985815602836879), ('MCC', 0.055039359120771444), ('Confusion Matrix', (2, 197, 0, 85)), ('ROC_AUC', 0.025243866390777414), ('AUCPR', 0.1724658000332435)]",85
29,"[('Accuracy', 0.28023850085178875), ('Precision', 0.27986348122866894), ('Recall', 0.9969604863221885), ('F1 Score', 0.4370419720186542), ('Specificity', 0.001183431952662722), ('NPV', 0.5), ('FPR', 0.9988165680473373), ('FDR', 0.7201365187713311), ('MCC', -0.020213643153309837), ('Confusion Matrix', (1, 844, 1, 328)), ('ROC_AUC', 0.06499523389867089), ('AUCPR', 0.1680332343626162)]",329
30,"[('Accuracy', 0.16221374045801526), ('Precision', 0.15900383141762453), ('Recall', 1.0), ('F1 Score', 0.27438016528925624), ('Specificity', 0.0045351473922902496), ('NPV', 1.0), ('FPR', 0.9954648526077098), ('FDR', 0.8409961685823755), ('MCC', 0.026853413403472533), ('Confusion Matrix', (2, 439, 0, 83)), ('ROC_AUC', 0.024588148512417064), ('AUCPR', 0.08597519951505188)]",83
31,"[('Accuracy', 0.15211267605633802), ('Precision', 0.1497175141242938), ('Recall', 1.0), ('F1 Score', 0.2604422604422605), ('Specificity', 0.0033112582781456954), ('NPV', 1.0), ('FPR', 0.9966887417218543), ('FDR', 0.8502824858757062), ('MCC', 0.022265519487033373), ('Confusion Matrix', (2, 602, 0, 106)), ('ROC_AUC', 0.1331531925527927), ('AUCPR', 0.08932738582089726)]",106
32,"[('Accuracy', 0.2585034013605442), ('Precision', 0.25813777441332325), ('Recall', 0.9970760233918129), ('F1 Score', 0.41010222489476855), ('Specificity', 0.0010193679918450561), ('NPV', 0.5), ('FPR', 0.9989806320081549), ('FDR', 0.7418622255866768), ('MCC', -0.021462825508773445), ('Confusion Matrix', (1, 980, 1, 341)), ('ROC_AUC', 0.09548676311914683), ('AUCPR', 0.14895586168476418)]",342
33,"[('Accuracy', 0.05668934240362812), ('Precision', 0.05239179954441914), ('Recall', 1.0), ('F1 Score', 0.09956709956709957), ('Specificity', 0.004784688995215311), ('NPV', 1.0), ('FPR', 0.9952153110047847), ('FDR', 0.9476082004555809), ('MCC', 0.015832828765565198), ('Confusion Matrix', (2, 416, 0, 23)), ('ROC_AUC', 0.0913251508217183), ('AUCPR', 0.02957897675664722)]",23
34,"[('Accuracy', 0.07572815533980583), ('Precision', 0.07212475633528265), ('Recall', 1.0), ('F1 Score', 0.13454545454545452), ('Specificity', 0.0041841004184100415), ('NPV', 1.0), ('FPR', 0.99581589958159), ('FDR', 0.9278752436647173), ('MCC', 0.01737173633118401), ('Confusion Matrix', (2, 476, 0, 37)), ('ROC_AUC', 0.021542462965057074), ('AUCPR', 0.03836748268098125)]",37
35,"[('Accuracy', 0.13571961222967935), ('Precision', 0.13517550410754295), ('Recall', 0.9945054945054945), ('F1 Score', 0.2380013149243919), ('Specificity', 0.0008628127696289905), ('NPV', 0.5), ('FPR', 0.999137187230371), ('FDR', 0.864824495892457), ('MCC', -0.04110662919143129), ('Confusion Matrix', (1, 1158, 1, 181)), ('ROC_AUC', 0.011903971783177968), ('AUCPR', 0.07182982263798958)]",182
36,"[('Accuracy', 0.020491803278688523), ('Precision', 0.019343493552168817), ('Recall', 1.0), ('F1 Score', 0.03795284646348476), ('Specificity', 0.0011940298507462687), ('NPV', 1.0), ('FPR', 0.9988059701492538), ('FDR', 0.9806565064478312), ('MCC', 0.004805903527850673), ('Confusion Matrix', (2, 1673, 0, 33)), ('ROC_AUC', 0.004378109452736315), ('AUCPR', 0.010057592717379544)]",33
37,"[('Accuracy', 0.08433734939759036), ('Precision', 0.08064516129032258), ('Recall', 1.0), ('F1 Score', 0.1492537313432836), ('Specificity', 0.004366812227074236), ('NPV', 1.0), ('FPR', 0.9956331877729258), ('FDR', 0.9193548387096774), ('MCC', 0.018765987220952553), ('Confusion Matrix', (2, 456, 0, 40)), ('ROC_AUC', 0.08957423580786028), ('AUCPR', 0.0439474565026495)]",40
38,"[('Accuracy', 0.14947089947089948), ('Precision', 0.14721485411140584), ('Recall', 1.0), ('F1 Score', 0.2566473988439307), ('Specificity', 0.0031007751937984496), ('NPV', 1.0), ('FPR', 0.9968992248062015), ('FDR', 0.8527851458885941), ('MCC', 0.0213653965043316), ('Confusion Matrix', (2, 643, 0, 111)), ('ROC_AUC', 0.06800754242614711), ('AUCPR', 0.09752355998685833)]",111
39,"[('Accuracy', 0.06846999154691462), ('Precision', 0.06773920406435224), ('Recall', 0.9876543209876543), ('F1 Score', 0.12678288431061804), ('Specificity', 0.0009074410163339383), ('NPV', 0.5), ('FPR', 0.9990925589836661), ('FDR', 0.9322607959356477), ('MCC', -0.07031572982098247), ('Confusion Matrix', (1, 1101, 1, 80)), ('ROC_AUC', 0.010194707714368957), ('AUCPR', 0.03565775916206912)]",81
