timestep,metrics,total_pos_label
20,"[('Accuracy', 0.7111111111111111), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7111111111111111), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (640, 0, 260, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.28888888888888886)]",260
21,"[('Accuracy', 0.84399375975039), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.84399375975039), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (541, 0, 100, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.15600624024961)]",100
22,"[('Accuracy', 0.9103800340328985), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9103800340328985), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1605, 0, 158, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.08961996596710153)]",158
23,"[('Accuracy', 0.9553496208930076), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9553496208930076), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1134, 0, 53, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.04465037910699242)]",53
24,"[('Accuracy', 0.8783303730017762), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8783303730017762), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (989, 0, 137, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.1216696269982238)]",137
25,"[('Accuracy', 0.8013468013468014), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8013468013468014), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (476, 0, 118, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.19865319865319866)]",118
26,"[('Accuracy', 0.8143133462282398), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8143133462282398), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (421, 0, 96, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.18568665377176016)]",96
27,"[('Accuracy', 0.883495145631068), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.883495145631068), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (182, 0, 24, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.11650485436893204)]",24
28,"[('Accuracy', 0.7007042253521126), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7007042253521126), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (199, 0, 85, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.2992957746478873)]",85
29,"[('Accuracy', 0.7197614991482112), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7197614991482112), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (845, 0, 329, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.28023850085178875)]",329
30,"[('Accuracy', 0.8416030534351145), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8416030534351145), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (441, 0, 83, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.15839694656488548)]",83
31,"[('Accuracy', 0.8507042253521127), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8507042253521127), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (604, 0, 106, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.14929577464788732)]",106
32,"[('Accuracy', 0.7414965986394558), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7414965986394558), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (981, 0, 342, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.2585034013605442)]",342
33,"[('Accuracy', 0.9478458049886621), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9478458049886621), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (418, 0, 23, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.05215419501133787)]",23
