timestep,metrics,total_pos_label
18,"[('Accuracy', 0.987146529562982), ('Precision', 0.9795918367346939), ('Recall', 0.9230769230769231), ('F1 Score', 0.9504950495049506), ('Specificity', 0.9970326409495549), ('NPV', 0.9882352941176471), ('FPR', 0.002967359050445104), ('FDR', 0.02040816326530612), ('MCC', 0.9436667841041904), ('Confusion Matrix', (336, 1, 4, 48)), ('ROC AUC', 0.9962337365898196), ('AUCPR', 0.9795746022636032)]",52
19,"[('Accuracy', 0.974496644295302), ('Precision', 0.9552238805970149), ('Recall', 0.8), ('F1 Score', 0.870748299319728), ('Specificity', 0.9954887218045113), ('NPV', 0.976401179941003), ('FPR', 0.004511278195488722), ('FDR', 0.04477611940298507), ('MCC', 0.8608700416488184), ('Confusion Matrix', (662, 3, 16, 64)), ('ROC AUC', 0.9611654135338347), ('AUCPR', 0.9209001991077967)]",80
20,"[('Accuracy', 0.9444444444444444), ('Precision', 0.9906542056074766), ('Recall', 0.8153846153846154), ('F1 Score', 0.8945147679324893), ('Specificity', 0.996875), ('NPV', 0.9300291545189504), ('FPR', 0.003125), ('FDR', 0.009345794392523364), ('MCC', 0.8647739080171805), ('Confusion Matrix', (638, 2, 48, 212)), ('ROC AUC', 0.9688221153846155), ('AUCPR', 0.9552500806668658)]",260
21,"[('Accuracy', 0.9641185647425897), ('Precision', 0.8737864077669902), ('Recall', 0.9), ('F1 Score', 0.8866995073891626), ('Specificity', 0.9759704251386322), ('NPV', 0.9814126394052045), ('FPR', 0.024029574861367836), ('FDR', 0.1262135922330097), ('MCC', 0.8655224277449894), ('Confusion Matrix', (528, 13, 10, 90)), ('ROC AUC', 0.9838262476894639), ('AUCPR', 0.9523828718061224)]",100
22,"[('Accuracy', 0.9869540555870675), ('Precision', 0.9470198675496688), ('Recall', 0.9050632911392406), ('F1 Score', 0.9255663430420711), ('Specificity', 0.9950155763239875), ('NPV', 0.9906947890818859), ('FPR', 0.004984423676012461), ('FDR', 0.052980132450331126), ('MCC', 0.918704057977649), ('Confusion Matrix', (1597, 8, 15, 143)), ('ROC AUC', 0.9873969793761583), ('AUCPR', 0.9649509431329246)]",158
23,"[('Accuracy', 0.9730412805391744), ('Precision', 0.8620689655172413), ('Recall', 0.4716981132075472), ('F1 Score', 0.6097560975609757), ('Specificity', 0.9964726631393298), ('NPV', 0.9758203799654577), ('FPR', 0.003527336860670194), ('FDR', 0.13793103448275862), ('MCC', 0.6263188527957719), ('Confusion Matrix', (1130, 4, 28, 25)), ('ROC AUC', 0.8966590130112143), ('AUCPR', 0.7208280444346393)]",53
24,"[('Accuracy', 0.9049733570159858), ('Precision', 1.0), ('Recall', 0.21897810218978103), ('F1 Score', 0.35928143712574856), ('Specificity', 1.0), ('NPV', 0.9023722627737226), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4445219517311695), ('Confusion Matrix', (989, 0, 107, 30)), ('ROC AUC', 0.8529038400507776), ('AUCPR', 0.6880332030346443)]",137
25,"[('Accuracy', 0.9764309764309764), ('Precision', 1.0), ('Recall', 0.8813559322033898), ('F1 Score', 0.936936936936937), ('Specificity', 1.0), ('NPV', 0.9714285714285714), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9252968897280677), ('Confusion Matrix', (476, 0, 14, 104)), ('ROC AUC', 0.9938221051132317), ('AUCPR', 0.9885070128390374)]",118
26,"[('Accuracy', 0.9400386847195358), ('Precision', 0.9577464788732394), ('Recall', 0.7083333333333334), ('F1 Score', 0.8143712574850299), ('Specificity', 0.9928741092636579), ('NPV', 0.9372197309417041), ('FPR', 0.007125890736342043), ('FDR', 0.04225352112676056), ('MCC', 0.7921849324463693), ('Confusion Matrix', (418, 3, 28, 68)), ('ROC AUC', 0.9605601741884401), ('AUCPR', 0.9126242841049063)]",96
27,"[('Accuracy', 0.9951456310679612), ('Precision', 1.0), ('Recall', 0.9583333333333334), ('F1 Score', 0.9787234042553191), ('Specificity', 1.0), ('NPV', 0.994535519125683), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9762666332319839), ('Confusion Matrix', (182, 0, 1, 23)), ('ROC AUC', 0.9988553113553114), ('AUCPR', 0.992816091954023)]",24
