timestep,metrics,total_pos_label
17,"[('Accuracy', 0.12577065351418001), ('Precision', 0.12252475247524752), ('Recall', 1.0), ('F1 Score', 0.21830209481808158), ('Specificity', 0.004213483146067416), ('NPV', 1.0), ('FPR', 0.9957865168539326), ('FDR', 0.8774752475247525), ('MCC', 0.022721267119827127), ('Confusion Matrix', (3, 709, 0, 99)), ('ROC_AUC', 0.11860174781523095), ('AUCPR', 0.07738898237888993)]",99
18,"[('Accuracy', 0.14138817480719795), ('Precision', 0.13471502590673576), ('Recall', 1.0), ('F1 Score', 0.23744292237442924), ('Specificity', 0.008902077151335312), ('NPV', 1.0), ('FPR', 0.9910979228486647), ('FDR', 0.8652849740932642), ('MCC', 0.03463009607358745), ('Confusion Matrix', (3, 334, 0, 52)), ('ROC_AUC', 0.2718557406984706), ('AUCPR', 0.1548238372172546)]",52
19,"[('Accuracy', 0.11140939597315436), ('Precision', 0.1078167115902965), ('Recall', 1.0), ('F1 Score', 0.194647201946472), ('Specificity', 0.004511278195488722), ('NPV', 1.0), ('FPR', 0.9954887218045113), ('FDR', 0.8921832884097035), ('MCC', 0.022054278045463213), ('Confusion Matrix', (3, 662, 0, 80)), ('ROC_AUC', 0.28729323308270677), ('AUCPR', 0.11623572025258663)]",80
20,"[('Accuracy', 0.29), ('Precision', 0.2887402452619844), ('Recall', 0.9961538461538462), ('F1 Score', 0.44770959377700953), ('Specificity', 0.003125), ('NPV', 0.6666666666666666), ('FPR', 0.996875), ('FDR', 0.7112597547380156), ('MCC', -0.005670844467496043), ('Confusion Matrix', (2, 638, 1, 259)), ('ROC_AUC', 0.22054687499999998), ('AUCPR', 0.23876322293092353)]",260
21,"[('Accuracy', 0.15756630265210608), ('Precision', 0.15517241379310345), ('Recall', 0.99), ('F1 Score', 0.2682926829268293), ('Specificity', 0.0036968576709796672), ('NPV', 0.6666666666666666), ('FPR', 0.9963031423290203), ('FDR', 0.8448275862068966), ('MCC', -0.03351079875698591), ('Confusion Matrix', (2, 539, 1, 99)), ('ROC_AUC', 0.17841035120147877), ('AUCPR', 0.12391106377026995)]",100
22,"[('Accuracy', 0.09018718094157686), ('Precision', 0.08920454545454545), ('Recall', 0.9936708860759493), ('F1 Score', 0.1637122002085506), ('Specificity', 0.0012461059190031153), ('NPV', 0.6666666666666666), ('FPR', 0.9987538940809969), ('FDR', 0.9107954545454545), ('MCC', -0.035226532373346456), ('Confusion Matrix', (2, 1603, 1, 157)), ('ROC_AUC', 0.09443984384242282), ('AUCPR', 0.06341137684967896)]",158
23,"[('Accuracy', 0.04717775905644482), ('Precision', 0.044763513513513514), ('Recall', 1.0), ('F1 Score', 0.0856911883589329), ('Specificity', 0.0026455026455026454), ('NPV', 1.0), ('FPR', 0.9973544973544973), ('FDR', 0.9552364864864865), ('MCC', 0.010882186977900785), ('Confusion Matrix', (3, 1131, 0, 53)), ('ROC_AUC', 0.265748228012379), ('AUCPR', 0.05982433245006963)]",53
24,"[('Accuracy', 0.12433392539964476), ('Precision', 0.1219946571682992), ('Recall', 1.0), ('F1 Score', 0.21746031746031744), ('Specificity', 0.003033367037411527), ('NPV', 1.0), ('FPR', 0.9969666329625885), ('FDR', 0.8780053428317008), ('MCC', 0.019236802535625267), ('Confusion Matrix', (3, 986, 0, 137)), ('ROC_AUC', 0.1835592982663311), ('AUCPR', 0.08179729100364065)]",137
25,"[('Accuracy', 0.20033670033670034), ('Precision', 0.19796954314720813), ('Recall', 0.9915254237288136), ('F1 Score', 0.3300423131170663), ('Specificity', 0.004201680672268907), ('NPV', 0.6666666666666666), ('FPR', 0.9957983193277311), ('FDR', 0.8020304568527918), ('MCC', -0.024049851212410666), ('Confusion Matrix', (2, 474, 1, 117)), ('ROC_AUC', 0.07281726249821961), ('AUCPR', 0.11822550195624643)]",118
26,"[('Accuracy', 0.18762088974854932), ('Precision', 0.18482490272373542), ('Recall', 0.9895833333333334), ('F1 Score', 0.31147540983606564), ('Specificity', 0.004750593824228029), ('NPV', 0.6666666666666666), ('FPR', 0.995249406175772), ('FDR', 0.8151750972762646), ('MCC', -0.02900792280654073), ('Confusion Matrix', (2, 419, 1, 95)), ('ROC_AUC', 0.198708432304038), ('AUCPR', 0.14325215385864903)]",96
