,test_results,time_metrics
"(32, 20, 0.2, 1.0, 1e-06, 0.1, 0.7, 1, 0.5)","[('True Negtaives', 30265), ('False Positives', 9624), ('False Negtaives', 1619), ('True Positives', 2909), ('Accuracy', 0.7468761960510615), ('Precision', 0.23210723689459825), ('Recall', 0.6424469964664311), ('F1 Score', 0.3410116640290721), ('Specificity', 0.75873047707388), ('NPV', 0.9492221804039643), ('FPR', 0.24126952292611997), ('FDR', 0.7678927631054018), ('MCC', 0.2697133246808065), ('Confusion Matrix', (30265, 9624, 1619, 2909)), ('ROC_AUC', 0.7643351698932737), ('AUCPR', 0.3646940602922604)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 571), (False Positives, 528)...   
1          3  [(True Negtaives, 1081), (False Positives, 187...   
2          4  [(True Negtaives, 1007), (False Positives, 403...   
3          5  [(True Negtaives, 1746), (False Positives, 128...   
4          6  [(True Negtaives, 289), (False Positives, 191)...   
5          7  [(True Negtaives, 931), (False Positives, 170)...   
6          8  [(True Negtaives, 450), (False Positives, 648)...   
7          9  [(True Negtaives, 150), (False Positives, 380)...   
8         10  [(True Negtaives, 913), (False Positives, 41),...   
9         11  [(True Negtaives, 209), (False Positives, 356)...   
10        12  [(True Negtaives, 424), (False Positives, 66),...   
11        13  [(True Negtaives, 175), (False Positives, 343)...   
12        14  [(True Negtaives, 114), (False Positives, 260)...   
13        15  [(True Negtaives, 164), (False Positives, 307)...   
14        16  [(True Negtaives, 190), (False Positives, 212)...   
15        17  [(True Negtaives, 576), (False Positives, 136)...   
16        18  [(True Negtaives, 239), (False Positives, 98),...   
17        19  [(True Negtaives, 440), (False Positives, 225)...   
18        20  [(True Negtaives, 155), (False Positives, 485)...   
19        21  [(True Negtaives, 262), (False Positives, 279)...   
20        22  [(True Negtaives, 1375), (False Positives, 230...   
21        23  [(True Negtaives, 766), (False Positives, 368)...   
22        24  [(True Negtaives, 515), (False Positives, 474)...   
23        25  [(True Negtaives, 199), (False Positives, 277)...   
24        26  [(True Negtaives, 253), (False Positives, 168)...   
25        27  [(True Negtaives, 152), (False Positives, 30),...   
26        28  [(True Negtaives, 142), (False Positives, 57),...   
27        29  [(True Negtaives, 501), (False Positives, 344)...   
28        30  [(True Negtaives, 299), (False Positives, 142)...   
29        31  [(True Negtaives, 197), (False Positives, 407)...   
30        32  [(True Negtaives, 444), (False Positives, 537)...   
31        33  [(True Negtaives, 408), (False Positives, 10),...   
32        34  [(True Negtaives, 477), (False Positives, 1), ...   
33        35  [(True Negtaives, 1034), (False Positives, 125...   
34        36  [(True Negtaives, 1654), (False Positives, 21)...   
35        37  [(True Negtaives, 352), (False Positives, 106)...   
36        38  [(True Negtaives, 524), (False Positives, 121)...   
37        39  [(True Negtaives, 688), (False Positives, 414)...   
38        40  [(True Negtaives, 1023), (False Positives, 76)...   
39        41  [(True Negtaives, 950), (False Positives, 66),...   
40        42  [(True Negtaives, 1830), (False Positives, 85)...   
41        43  [(True Negtaives, 1276), (False Positives, 70)...   
42        44  [(True Negtaives, 1537), (False Positives, 30)...   
43        45  [(True Negtaives, 1210), (False Positives, 6),...   
44        46  [(True Negtaives, 709), (False Positives, 1), ...   
45        47  [(True Negtaives, 823), (False Positives, 1), ...   
46        48  [(True Negtaives, 428), (False Positives, 7), ...   
47        49  [(True Negtaives, 413), (False Positives, 7), ...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
"(32, 20, 0.3, 1.0, 1e-06, 0.1, 0.7, 1, 0.5)","[('True Negtaives', 29100), ('False Positives', 10789), ('False Negtaives', 2181), ('True Positives', 2347), ('Accuracy', 0.707994686719049), ('Precision', 0.17866930572472595), ('Recall', 0.5183303886925795), ('F1 Score', 0.26573822463768115), ('Specificity', 0.729524430294066), ('NPV', 0.9302771650522681), ('FPR', 0.27047556970593395), ('FDR', 0.821330694275274), ('MCC', 0.164325615147687), ('Confusion Matrix', (29100, 10789, 2181, 2347)), ('ROC_AUC', 0.6624855263107774), ('AUCPR', 0.20848180415716278)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 736), (False Positives, 363)...   
1          3  [(True Negtaives, 964), (False Positives, 304)...   
2          4  [(True Negtaives, 1045), (False Positives, 365...   
3          5  [(True Negtaives, 1695), (False Positives, 179...   
4          6  [(True Negtaives, 125), (False Positives, 355)...   
5          7  [(True Negtaives, 887), (False Positives, 214)...   
6          8  [(True Negtaives, 393), (False Positives, 705)...   
7          9  [(True Negtaives, 147), (False Positives, 383)...   
8         10  [(True Negtaives, 917), (False Positives, 37),...   
9         11  [(True Negtaives, 309), (False Positives, 256)...   
10        12  [(True Negtaives, 445), (False Positives, 45),...   
11        13  [(True Negtaives, 222), (False Positives, 296)...   
12        14  [(True Negtaives, 110), (False Positives, 264)...   
13        15  [(True Negtaives, 145), (False Positives, 326)...   
14        16  [(True Negtaives, 185), (False Positives, 217)...   
15        17  [(True Negtaives, 584), (False Positives, 128)...   
16        18  [(True Negtaives, 240), (False Positives, 97),...   
17        19  [(True Negtaives, 387), (False Positives, 278)...   
18        20  [(True Negtaives, 169), (False Positives, 471)...   
19        21  [(True Negtaives, 262), (False Positives, 279)...   
20        22  [(True Negtaives, 1299), (False Positives, 306...   
21        23  [(True Negtaives, 787), (False Positives, 347)...   
22        24  [(True Negtaives, 549), (False Positives, 440)...   
23        25  [(True Negtaives, 211), (False Positives, 265)...   
24        26  [(True Negtaives, 283), (False Positives, 138)...   
25        27  [(True Negtaives, 84), (False Positives, 98), ...   
26        28  [(True Negtaives, 195), (False Positives, 4), ...   
27        29  [(True Negtaives, 654), (False Positives, 191)...   
28        30  [(True Negtaives, 392), (False Positives, 49),...   
29        31  [(True Negtaives, 431), (False Positives, 173)...   
30        32  [(True Negtaives, 224), (False Positives, 757)...   
31        33  [(True Negtaives, 416), (False Positives, 2), ...   
32        34  [(True Negtaives, 267), (False Positives, 211)...   
33        35  [(True Negtaives, 1135), (False Positives, 24)...   
34        36  [(True Negtaives, 927), (False Positives, 748)...   
35        37  [(True Negtaives, 435), (False Positives, 23),...   
36        38  [(True Negtaives, 640), (False Positives, 5), ...   
37        39  [(True Negtaives, 1001), (False Positives, 101...   
38        40  [(True Negtaives, 1061), (False Positives, 38)...   
39        41  [(True Negtaives, 885), (False Positives, 131)...   
40        42  [(True Negtaives, 1901), (False Positives, 14)...   
41        43  [(True Negtaives, 1065), (False Positives, 281...   
42        44  [(True Negtaives, 1125), (False Positives, 442...   
43        45  [(True Negtaives, 1168), (False Positives, 48)...   
44        46  [(True Negtaives, 664), (False Positives, 46),...   
45        47  [(True Negtaives, 702), (False Positives, 122)...   
46        48  [(True Negtaives, 334), (False Positives, 101)...   
47        49  [(True Negtaives, 298), (False Positives, 122)...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
"(64, 20, 0.2, 1.0, 1e-06, 0.1, 0.7, 1, 0.5)","[('True Negtaives', 24634), ('False Positives', 15255), ('False Negtaives', 1508), ('True Positives', 3020), ('Accuracy', 0.6225994551635635), ('Precision', 0.1652530779753762), ('Recall', 0.6669611307420494), ('F1 Score', 0.2648774284085428), ('Specificity', 0.6175637393767706), ('NPV', 0.9423150485808278), ('FPR', 0.38243626062322944), ('FDR', 0.8347469220246237), ('MCC', 0.17494515494099497), ('Confusion Matrix', (24634, 15255, 1508, 3020)), ('ROC_AUC', 0.7098656645424268), ('AUCPR', 0.2081126773785097)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 723), (False Positives, 376)...   
1          3  [(True Negtaives, 791), (False Positives, 477)...   
2          4  [(True Negtaives, 866), (False Positives, 544)...   
3          5  [(True Negtaives, 1407), (False Positives, 467...   
4          6  [(True Negtaives, 233), (False Positives, 247)...   
5          7  [(True Negtaives, 736), (False Positives, 365)...   
6          8  [(True Negtaives, 148), (False Positives, 950)...   
7          9  [(True Negtaives, 263), (False Positives, 267)...   
8         10  [(True Negtaives, 886), (False Positives, 68),...   
9         11  [(True Negtaives, 125), (False Positives, 440)...   
10        12  [(True Negtaives, 377), (False Positives, 113)...   
11        13  [(True Negtaives, 111), (False Positives, 407)...   
12        14  [(True Negtaives, 135), (False Positives, 239)...   
13        15  [(True Negtaives, 105), (False Positives, 366)...   
14        16  [(True Negtaives, 127), (False Positives, 275)...   
15        17  [(True Negtaives, 515), (False Positives, 197)...   
16        18  [(True Negtaives, 188), (False Positives, 149)...   
17        19  [(True Negtaives, 430), (False Positives, 235)...   
18        20  [(True Negtaives, 51), (False Positives, 589),...   
19        21  [(True Negtaives, 138), (False Positives, 403)...   
20        22  [(True Negtaives, 1534), (False Positives, 71)...   
21        23  [(True Negtaives, 731), (False Positives, 403)...   
22        24  [(True Negtaives, 340), (False Positives, 649)...   
23        25  [(True Negtaives, 119), (False Positives, 357)...   
24        26  [(True Negtaives, 220), (False Positives, 201)...   
25        27  [(True Negtaives, 115), (False Positives, 67),...   
26        28  [(True Negtaives, 183), (False Positives, 16),...   
27        29  [(True Negtaives, 400), (False Positives, 445)...   
28        30  [(True Negtaives, 293), (False Positives, 148)...   
29        31  [(True Negtaives, 209), (False Positives, 395)...   
30        32  [(True Negtaives, 124), (False Positives, 857)...   
31        33  [(True Negtaives, 332), (False Positives, 86),...   
32        34  [(True Negtaives, 402), (False Positives, 76),...   
33        35  [(True Negtaives, 932), (False Positives, 227)...   
34        36  [(True Negtaives, 1549), (False Positives, 126...   
35        37  [(True Negtaives, 429), (False Positives, 29),...   
36        38  [(True Negtaives, 457), (False Positives, 188)...   
37        39  [(True Negtaives, 992), (False Positives, 110)...   
38        40  [(True Negtaives, 395), (False Positives, 704)...   
39        41  [(True Negtaives, 757), (False Positives, 259)...   
40        42  [(True Negtaives, 1650), (False Positives, 265...   
41        43  [(True Negtaives, 26), (False Positives, 1320)...   
42        44  [(True Negtaives, 666), (False Positives, 901)...   
43        45  [(True Negtaives, 1122), (False Positives, 94)...   
44        46  [(True Negtaives, 688), (False Positives, 22),...   
45        47  [(True Negtaives, 801), (False Positives, 23),...   
46        48  [(True Negtaives, 404), (False Positives, 31),...   
47        49  [(True Negtaives, 409), (False Positives, 11),...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
"(64, 20, 0.3, 1.0, 1e-06, 0.1, 0.7, 1, 0.5)","[('True Negtaives', 24338), ('False Positives', 15551), ('False Negtaives', 1881), ('True Positives', 2647), ('Accuracy', 0.6075376545016548), ('Precision', 0.14545554456533685), ('Recall', 0.5845848056537103), ('F1 Score', 0.23294904514652823), ('Specificity', 0.6101431472335732), ('NPV', 0.9282581334146993), ('FPR', 0.38985685276642684), ('FDR', 0.8545444554346632), ('MCC', 0.11980865416506793), ('Confusion Matrix', (24338, 15551, 1881, 2647)), ('ROC_AUC', 0.6321167066790555), ('AUCPR', 0.1399762585422172)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 424), (False Positives, 675)...   
1          3  [(True Negtaives, 693), (False Positives, 575)...   
2          4  [(True Negtaives, 817), (False Positives, 593)...   
3          5  [(True Negtaives, 1380), (False Positives, 494...   
4          6  [(True Negtaives, 268), (False Positives, 212)...   
5          7  [(True Negtaives, 840), (False Positives, 261)...   
6          8  [(True Negtaives, 92), (False Positives, 1006)...   
7          9  [(True Negtaives, 156), (False Positives, 374)...   
8         10  [(True Negtaives, 872), (False Positives, 82),...   
9         11  [(True Negtaives, 261), (False Positives, 304)...   
10        12  [(True Negtaives, 445), (False Positives, 45),...   
11        13  [(True Negtaives, 213), (False Positives, 305)...   
12        14  [(True Negtaives, 155), (False Positives, 219)...   
13        15  [(True Negtaives, 160), (False Positives, 311)...   
14        16  [(True Negtaives, 168), (False Positives, 234)...   
15        17  [(True Negtaives, 444), (False Positives, 268)...   
16        18  [(True Negtaives, 256), (False Positives, 81),...   
17        19  [(True Negtaives, 545), (False Positives, 120)...   
18        20  [(True Negtaives, 167), (False Positives, 473)...   
19        21  [(True Negtaives, 217), (False Positives, 324)...   
20        22  [(True Negtaives, 1463), (False Positives, 142...   
21        23  [(True Negtaives, 881), (False Positives, 253)...   
22        24  [(True Negtaives, 346), (False Positives, 643)...   
23        25  [(True Negtaives, 101), (False Positives, 375)...   
24        26  [(True Negtaives, 268), (False Positives, 153)...   
25        27  [(True Negtaives, 135), (False Positives, 47),...   
26        28  [(True Negtaives, 161), (False Positives, 38),...   
27        29  [(True Negtaives, 388), (False Positives, 457)...   
28        30  [(True Negtaives, 269), (False Positives, 172)...   
29        31  [(True Negtaives, 120), (False Positives, 484)...   
30        32  [(True Negtaives, 128), (False Positives, 853)...   
31        33  [(True Negtaives, 378), (False Positives, 40),...   
32        34  [(True Negtaives, 363), (False Positives, 115)...   
33        35  [(True Negtaives, 911), (False Positives, 248)...   
34        36  [(True Negtaives, 842), (False Positives, 833)...   
35        37  [(True Negtaives, 396), (False Positives, 62),...   
36        38  [(True Negtaives, 386), (False Positives, 259)...   
37        39  [(True Negtaives, 1082), (False Positives, 20)...   
38        40  [(True Negtaives, 270), (False Positives, 829)...   
39        41  [(True Negtaives, 787), (False Positives, 229)...   
40        42  [(True Negtaives, 1506), (False Positives, 409...   
41        43  [(True Negtaives, 689), (False Positives, 657)...   
42        44  [(True Negtaives, 993), (False Positives, 574)...   
43        45  [(True Negtaives, 1107), (False Positives, 109...   
44        46  [(True Negtaives, 516), (False Positives, 194)...   
45        47  [(True Negtaives, 707), (False Positives, 117)...   
46        48  [(True Negtaives, 173), (False Positives, 262)...   
47        49  [(True Negtaives, 399), (False Positives, 21),...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
