,test_results,time_metrics
"(32, 20, 0.2, 1.0, 1e-06, 0.1, 0.67, 0.9, 0.5)","[('True Negtaives', 37176), ('False Positives', 2713), ('False Negtaives', 3474), ('True Positives', 1054), ('Accuracy', 0.8607064862552626), ('Precision', 0.27979824794265995), ('Recall', 0.232773851590106), ('F1 Score', 0.2541289933694997), ('Specificity', 0.9319862618767079), ('NPV', 0.9145387453874538), ('FPR', 0.06801373812329213), ('FDR', 0.72020175205734), ('MCC', 0.17893849522075736), ('Confusion Matrix', (37176, 2713, 3474, 1054)), ('ROC_AUC', 0.7490838534530495), ('AUCPR', 0.23142952627426283)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 1080), (False Positives, 19)...   
1          3  [(True Negtaives, 1257), (False Positives, 11)...   
2          4  [(True Negtaives, 1397), (False Positives, 13)...   
3          5  [(True Negtaives, 1866), (False Positives, 8),...   
4          6  [(True Negtaives, 383), (False Positives, 97),...   
5          7  [(True Negtaives, 1091), (False Positives, 10)...   
6          8  [(True Negtaives, 586), (False Positives, 512)...   
7          9  [(True Negtaives, 474), (False Positives, 56),...   
8         10  [(True Negtaives, 952), (False Positives, 2), ...   
9         11  [(True Negtaives, 428), (False Positives, 137)...   
10        12  [(True Negtaives, 487), (False Positives, 3), ...   
11        13  [(True Negtaives, 429), (False Positives, 89),...   
12        14  [(True Negtaives, 120), (False Positives, 254)...   
13        15  [(True Negtaives, 233), (False Positives, 238)...   
14        16  [(True Negtaives, 334), (False Positives, 68),...   
15        17  [(True Negtaives, 697), (False Positives, 15),...   
16        18  [(True Negtaives, 334), (False Positives, 3), ...   
17        19  [(True Negtaives, 633), (False Positives, 32),...   
18        20  [(True Negtaives, 231), (False Positives, 409)...   
19        21  [(True Negtaives, 513), (False Positives, 28),...   
20        22  [(True Negtaives, 1598), (False Positives, 7),...   
21        23  [(True Negtaives, 1065), (False Positives, 69)...   
22        24  [(True Negtaives, 893), (False Positives, 96),...   
23        25  [(True Negtaives, 289), (False Positives, 187)...   
24        26  [(True Negtaives, 415), (False Positives, 6), ...   
25        27  [(True Negtaives, 180), (False Positives, 2), ...   
26        28  [(True Negtaives, 197), (False Positives, 2), ...   
27        29  [(True Negtaives, 737), (False Positives, 108)...   
28        30  [(True Negtaives, 435), (False Positives, 6), ...   
29        31  [(True Negtaives, 574), (False Positives, 30),...   
30        32  [(True Negtaives, 816), (False Positives, 165)...   
31        33  [(True Negtaives, 417), (False Positives, 1), ...   
32        34  [(True Negtaives, 476), (False Positives, 2), ...   
33        35  [(True Negtaives, 1157), (False Positives, 2),...   
34        36  [(True Negtaives, 1650), (False Positives, 25)...   
35        37  [(True Negtaives, 458), (False Positives, 0), ...   
36        38  [(True Negtaives, 645), (False Positives, 0), ...   
37        39  [(True Negtaives, 1102), (False Positives, 0),...   
38        40  [(True Negtaives, 1099), (False Positives, 0),...   
39        41  [(True Negtaives, 1016), (False Positives, 0),...   
40        42  [(True Negtaives, 1915), (False Positives, 0),...   
41        43  [(True Negtaives, 1346), (False Positives, 0),...   
42        44  [(True Negtaives, 1567), (False Positives, 0),...   
43        45  [(True Negtaives, 1216), (False Positives, 0),...   
44        46  [(True Negtaives, 710), (False Positives, 0), ...   
45        47  [(True Negtaives, 824), (False Positives, 0), ...   
46        48  [(True Negtaives, 435), (False Positives, 0), ...   
47        49  [(True Negtaives, 419), (False Positives, 1), ...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
"(32, 20, 0.2, 1.0, 1e-06, 0.1, 0.68, 0.9, 0.5)","[('True Negtaives', 36799), ('False Positives', 3090), ('False Negtaives', 3176), ('True Positives', 1352), ('Accuracy', 0.858927887970822), ('Precision', 0.3043674020711391), ('Recall', 0.29858657243816256), ('F1 Score', 0.30144927536231886), ('Specificity', 0.9225350347213518), ('NPV', 0.9205503439649781), ('FPR', 0.07746496527864825), ('FDR', 0.6956325979288609), ('MCC', 0.22301159943420368), ('Confusion Matrix', (36799, 3090, 3176, 1352)), ('ROC_AUC', 0.7254977527302575), ('AUCPR', 0.22544640465439403)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 1096), (False Positives, 3),...   
1          3  [(True Negtaives, 1263), (False Positives, 5),...   
2          4  [(True Negtaives, 1399), (False Positives, 11)...   
3          5  [(True Negtaives, 1872), (False Positives, 2),...   
4          6  [(True Negtaives, 386), (False Positives, 94),...   
5          7  [(True Negtaives, 1087), (False Positives, 14)...   
6          8  [(True Negtaives, 885), (False Positives, 213)...   
7          9  [(True Negtaives, 443), (False Positives, 87),...   
8         10  [(True Negtaives, 953), (False Positives, 1), ...   
9         11  [(True Negtaives, 470), (False Positives, 95),...   
10        12  [(True Negtaives, 489), (False Positives, 1), ...   
11        13  [(True Negtaives, 447), (False Positives, 71),...   
12        14  [(True Negtaives, 32), (False Positives, 342),...   
13        15  [(True Negtaives, 331), (False Positives, 140)...   
14        16  [(True Negtaives, 344), (False Positives, 58),...   
15        17  [(True Negtaives, 683), (False Positives, 29),...   
16        18  [(True Negtaives, 335), (False Positives, 2), ...   
17        19  [(True Negtaives, 661), (False Positives, 4), ...   
18        20  [(True Negtaives, 284), (False Positives, 356)...   
19        21  [(True Negtaives, 513), (False Positives, 28),...   
20        22  [(True Negtaives, 1602), (False Positives, 3),...   
21        23  [(True Negtaives, 1044), (False Positives, 90)...   
22        24  [(True Negtaives, 670), (False Positives, 319)...   
23        25  [(True Negtaives, 292), (False Positives, 184)...   
24        26  [(True Negtaives, 360), (False Positives, 61),...   
25        27  [(True Negtaives, 180), (False Positives, 2), ...   
26        28  [(True Negtaives, 159), (False Positives, 40),...   
27        29  [(True Negtaives, 582), (False Positives, 263)...   
28        30  [(True Negtaives, 289), (False Positives, 152)...   
29        31  [(True Negtaives, 408), (False Positives, 196)...   
30        32  [(True Negtaives, 764), (False Positives, 217)...   
31        33  [(True Negtaives, 418), (False Positives, 0), ...   
32        34  [(True Negtaives, 478), (False Positives, 0), ...   
33        35  [(True Negtaives, 1157), (False Positives, 2),...   
34        36  [(True Negtaives, 1675), (False Positives, 0),...   
35        37  [(True Negtaives, 458), (False Positives, 0), ...   
36        38  [(True Negtaives, 644), (False Positives, 1), ...   
37        39  [(True Negtaives, 1101), (False Positives, 1),...   
38        40  [(True Negtaives, 1098), (False Positives, 1),...   
39        41  [(True Negtaives, 1016), (False Positives, 0),...   
40        42  [(True Negtaives, 1915), (False Positives, 0),...   
41        43  [(True Negtaives, 1345), (False Positives, 1),...   
42        44  [(True Negtaives, 1567), (False Positives, 0),...   
43        45  [(True Negtaives, 1216), (False Positives, 0),...   
44        46  [(True Negtaives, 710), (False Positives, 0), ...   
45        47  [(True Negtaives, 823), (False Positives, 1), ...   
46        48  [(True Negtaives, 435), (False Positives, 0), ...   
47        49  [(True Negtaives, 420), (False Positives, 0), ...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
"(32, 20, 0.2, 1.0, 1e-06, 0.1, 0.69, 0.9, 0.5)","[('True Negtaives', 34274), ('False Positives', 5615), ('False Negtaives', 2580), ('True Positives', 1948), ('Accuracy', 0.8154985703672017), ('Precision', 0.2575697474547137), ('Recall', 0.4302120141342756), ('F1 Score', 0.3222231411793896), ('Specificity', 0.859234375391712), ('NPV', 0.9299940304987246), ('FPR', 0.140765624608288), ('FDR', 0.7424302525452863), ('MCC', 0.2330014127306459), ('Confusion Matrix', (34274, 5615, 2580, 1948)), ('ROC_AUC', 0.7382421179019127), ('AUCPR', 0.21673197255541193)]","    timestep                                            metrics  \
0          2  [(True Negtaives, 995), (False Positives, 104)...   
1          3  [(True Negtaives, 1236), (False Positives, 32)...   
2          4  [(True Negtaives, 1352), (False Positives, 58)...   
3          5  [(True Negtaives, 1834), (False Positives, 40)...   
4          6  [(True Negtaives, 305), (False Positives, 175)...   
5          7  [(True Negtaives, 1043), (False Positives, 58)...   
6          8  [(True Negtaives, 340), (False Positives, 758)...   
7          9  [(True Negtaives, 321), (False Positives, 209)...   
8         10  [(True Negtaives, 941), (False Positives, 13),...   
9         11  [(True Negtaives, 278), (False Positives, 287)...   
10        12  [(True Negtaives, 476), (False Positives, 14),...   
11        13  [(True Negtaives, 290), (False Positives, 228)...   
12        14  [(True Negtaives, 147), (False Positives, 227)...   
13        15  [(True Negtaives, 225), (False Positives, 246)...   
14        16  [(True Negtaives, 278), (False Positives, 124)...   
15        17  [(True Negtaives, 652), (False Positives, 60),...   
16        18  [(True Negtaives, 314), (False Positives, 23),...   
17        19  [(True Negtaives, 599), (False Positives, 66),...   
18        20  [(True Negtaives, 225), (False Positives, 415)...   
19        21  [(True Negtaives, 427), (False Positives, 114)...   
20        22  [(True Negtaives, 1565), (False Positives, 40)...   
21        23  [(True Negtaives, 924), (False Positives, 210)...   
22        24  [(True Negtaives, 632), (False Positives, 357)...   
23        25  [(True Negtaives, 272), (False Positives, 204)...   
24        26  [(True Negtaives, 344), (False Positives, 77),...   
25        27  [(True Negtaives, 169), (False Positives, 13),...   
26        28  [(True Negtaives, 182), (False Positives, 17),...   
27        29  [(True Negtaives, 602), (False Positives, 243)...   
28        30  [(True Negtaives, 345), (False Positives, 96),...   
29        31  [(True Negtaives, 305), (False Positives, 299)...   
30        32  [(True Negtaives, 487), (False Positives, 494)...   
31        33  [(True Negtaives, 417), (False Positives, 1), ...   
32        34  [(True Negtaives, 457), (False Positives, 21),...   
33        35  [(True Negtaives, 1015), (False Positives, 144...   
34        36  [(True Negtaives, 1650), (False Positives, 25)...   
35        37  [(True Negtaives, 444), (False Positives, 14),...   
36        38  [(True Negtaives, 614), (False Positives, 31),...   
37        39  [(True Negtaives, 1091), (False Positives, 11)...   
38        40  [(True Negtaives, 1058), (False Positives, 41)...   
39        41  [(True Negtaives, 993), (False Positives, 23),...   
40        42  [(True Negtaives, 1912), (False Positives, 3),...   
41        43  [(True Negtaives, 1346), (False Positives, 0),...   
42        44  [(True Negtaives, 1567), (False Positives, 0),...   
43        45  [(True Negtaives, 1216), (False Positives, 0),...   
44        46  [(True Negtaives, 710), (False Positives, 0), ...   
45        47  [(True Negtaives, 824), (False Positives, 0), ...   
46        48  [(True Negtaives, 435), (False Positives, 0), ...   
47        49  [(True Negtaives, 420), (False Positives, 0), ...   

    total_pos_label  
0                18  
1                11  
2                30  
3                 8  
4                 5  
5               102  
6                67  
7               248  
8                18  
9               131  
10               16  
11              291  
12               43  
13              147  
14              128  
15               99  
16               52  
17               80  
18              260  
19              100  
20              158  
21               53  
22              137  
23              118  
24               96  
25               24  
26               85  
27              329  
28               83  
29              106  
30              342  
31               23  
32               37  
33              182  
34               33  
35               40  
36              111  
37               81  
38              112  
39              116  
40              239  
41               24  
42               24  
43                5  
44                2  
45               22  
46               36  
47               56  "
